,Player,From,To,Price_m,Year
55,Daniel-Kofi Kyereh,St. Pauli,Freiburg,4.5,2021
56,Bartol Franjić,Dinamo Zagreb,Wolfsburg,7.5,2021
59,Kilian Fischer,Nuremberg,Wolfsburg,2.5,2021
64,Steffen Tigges,Borussia Dortmund,Koln,1.5,2021
66,Tobias Mohr,Heidenheim,Schalke,1.0,2021
68,Florent Mollet,Montpellier,Schalke,0.5,2021
71,Sebastian Polter,Bochum,Schalke,1.5,2021
72,Xaver Schlager,Wolfsburg,RB Leipzig,12.0,2021
73,Jakub Kaminski,Lech Poznan,Wolfsburg,10.0,2021
74,Patrick Wimmer,Armenia Bielefeld,Wolfsburg,5.0,2021
75,Konstantinos Mavropanos,Arsenal,Stuttgart,3.2,2021
78,Salih Ozcan,Koln,Borussia Dortmund,5.0,2021
80,Nico Schlotterbeck,Freiburg,Borussia Dortmund,20.0,2021
81,Ryan Gravenberch,Ajax,Bayern Munich,18.5,2021
83,Jamie Leweling,Greuther Furth,Union Berlin,4.0,2021
84,Maxim Leitsch,Bochum,Mainz,3.0,2021
85,Adam Hlozek,Sparta Prague,Bayer Leverkusen,13.0,2021
86,Jessic Ngankam,Greuther Furth,Hertha Berlin,1.5,2021
89,Faride Alidou,Hamburger SV,Eintracht Frankfurt,1.5,2021
90,Rodrigo Zalazar,Eintracht Frankfurt,Schalke,1.5,2021
98,Marvin Pieringer,SC Freiburg II,Schalke,0.5,2021
101,Delano Burgzorg,Heracles Almelo,Mainz,2.0,2021
102,Jens Petter Hauge,Milan,Eintracht Frankfurt,12.0,2021
104,Hrvoje Smolčić,Rijeka,Eintracht Frankfurt,2.5,2021
107,Arne Maier,Hertha Berlin,Augsburg,5.0,2021
108,Luca Kilian,Meinz,Koln,2.0,2021
110,Marcus Ingvartsen,Union Berlin,Mainz,2.3,2021
114,Karim Adeyemi,RB Salzburg,Borussia Dortmund,30.0,2021
43,Nahki Wells,Huddersfield,Burnley,5.4,2016
44,Ezequiel Schelotto,Sporting CP,Brighton,3.0,2016
46,Marvin Zeegelaar,Sporting CP,Watford,3.0,2016
48,Nikola Vlasic,Hajduk Split,Everton,8.6,2016
50,Serge Aurier,PSG,Tottenham,25.0,2016
51,Alex Oxlade-Chamberlain,Arsenal,Liverpool,38.0,2016
52,Danny Drinkwater,Leicester City,Chelsea,38.0,2016
54,Wilfried Bony,Manchester City,Swansea,13.0,2016
55,Mamadou Sakho,Liverpool,Crystal Palace,29.0,2016
56,Fernando Llorente,Swansea,Tottenham,15.0,2016
57,Davide Zappacosta,Torino,Chelsea,28.0,2016
59,Kieran Gibbs,Arsenal,West Brom,7.5,2016
61,Juan Foyth,Estudiantes,Tottenham,8.8,2016
62,Kevin Wimmer,Tottenham,Stoke City,19.5,2016
65,Oliver Burke,RB Leipzig,West Bromwich,16.3,2016
69,Wesley Hoedt,Lazio,Southampton,17.0,2016
70,Chris Wood,Leeds,Burnley,16.4,2016
71,Davinson Sanchez,Ajax,Tottenham,46.0,2016
72,Joselu,Stoke City,Newcastle,5.5,2016
73,Gylfi Sigurdsson,Swansea,Everton,50.0,2016
75,Jose Izquierdo,Club Brugge,Brighton,16.0,2016
77,Bruno Martins Indi,FC Porto,Stoke City,7.7,2016
79,Andre Gray,Burnley,Watford,20.0,2016
81,Davy Propper,PSV,Brighton,13.0,2016
82,Mario Lemina,Juventus,Southampton,17.0,2016
83,Richarlison,Fluminense,Watford,12.4,2016
86,Sead Haksabanovic,Halmstad,West Ham,3.0,2016
87,Kelechi Iheanacho,Manchester City,Leicester City,27.7,2016
88,Nemanja Matic,Chelsea,Manchester United,44.7,2016
90,Phil Bardsley,Stoke City,Burnley,0.84,2016
92,Benjamin Mendy,AS Monaco,Manchester City ,50.0,2016
93,Javier Hernandez,Bayer Leverkusen,West Ham,17.8,2016
94,Jairo Riedewald,Ajax,Crystal Palace,9.0,2016
95,Danilo,Real Madrid,Manchester City,30.0,2016
96,Marko Arnautovic,Stoke City,West Ham,27.9,2016
97,Javier Manquillo,Atletico Madrid,Newcastle United,5.0,2016
98,Alvaro Morata,Real Madrid,Chelsea,65.5,2016
100,Andrew Robertson,Hull City,Liverpool,9.0,2016
105,Tiemoue Bakayoko,AS Monaco,Chelsea,40.0,2016
106,Kyle Walker,Tottenham,Manchester City,51.0,2016
107,Markus Suttner,FC Ingolstadt,Brighton,4.5,2016
108,Nathaniel Chalobah,Chelsea,Watford,5.7,2016
111,Jack Cork,Swansea,Burnley,9.1,2016
112,Romelu Lukaku,Everton,Manchester United,84.7,2016
114,Antonio Rudiger,AS Roma,Chelsea,35.0,2016
116,Zanka,FC Copenhagen,Huddersfield,2.7,2016
117,Roque Mesa,Las Palmas,Swansea City,12.0,2016
120,Tom Ince,Derby,Huddersfield,9.1,2016
122,Steve Mounie,Montpellier,Huddersfield,13.0,2016
125,Scott Malone,Fulham,Huddersfield,3.9,2016
126,Alexandre Lacazette,Olympique Lyon,Arsenal,60.0,2016
127,Michael Kane,Burnley,Everton,28.5,2016
128,Florian Lejeune,Eibar,Newcastle United ,10.0,2016
129,Sandro Ramirez,Malaga,Everton,6.0,2016
131,Vicente Iborra,Sevilla,Leicester City,15.0,2016
133,Jay Rodriguez,Southampton,West Brom,13.7,2016
134,Nathan Ake,Chelsea,Bournemouth,22.8,2016
135,Victor Lindelof,Benfica,Manchester United,35.0,2016
136,Asmir Begovic,Chelsea,Bournemouth,11.5,2016
137,Christian Atsu,Chelsea,Newcastle United,7.5,2016
138,Davy Klassen,Ajax,Everton,27.0,2016
139,Laurent Depoitre,FC Porto,Huddersfield,4.0,2016
140,Harry Maguire,Hull City,Leicester City,13.7,2016
141,Ederson,Benfica,Manchester City,40.0,2016
142,Elias Kachunga,FC Ingolstadt,Huddersfield,1.3,2016
143,Henry Onyekuru,KAS Eupen,Everton,8.0,2016
145,Mathew Ryan,Valencia,Brighton,6.0,2016
147,Jan Bednarek,Lech Poznan,Southampton,6.0,2016
148,Tom Cleverley,Everton,Watford,9.3,2016
150,Will Hughes,Derby,Watford,9.1,2016
151,Mohamed Salah,Roma,Liverpool ,42.0,2016
154,Bernardo Silva,AS Monaco,Manchester City,50.0,2016
155,Jordan Pickford,Sunderland,Everton,28.5,2016
156,Aaron Mooy,Manchester City,Huddersfield,9.1,2016
32,André-Frank Zambo Anguissa,Marseille,Fulham,33.4,2017
33,Federico Fernandez,Swansea,Newcastle,6.6,2017
37,Yerry Mina,FC Barcelona,Everton,32.0,2017
38,Filip Benkovic,Dinamo Zagreb,Leicester,14.4,2017
48,Martin Montoya,Valencia,Brighton,6.0,2017
49,Joe Bryan,Bristol City,Fulham,6.0,2017
51,Adama Traore,Middlesbrough,Wolves,20.0,2017
53,Kepa,Athletic Bilbao,Chelsea,80.0,2017
55,Joe Hart,Manchester City,Burnley,3.9,2017
58,Jefferson Lerma,Levante UD,Bournemouth,25.2,2017
60,Ben Gibson,Middlesbrough,Burnley,15.2,2017
61,Rachid Ghezzal,AS Monaco,Leicester City,10.12,2017
63,Cheikhou Kouyaté,West Ham,Crystal Palace,10.6,2017
64,Yoshinori Muto,Mainz 05,Newcastle United,9.63,2017
66,Alfie Mawson,Swansea,Fulham,15.1,2017
67,Lucas Digne,Barcelona,Everton,22.0,2017
68,Philippe Sandler,PEC Zwolle,Manchester City,2.9,2017
69,Aleksandar Mitrovic,Newcastle,Fulham,18.1,2017
70,Fabian Schar,Deportivo La Coruna,Newcastle,3.3,2017
74,Alireza Jahanbakhsh,AZ Alkmaar,Brighton,17.1,2017
75,Joao Moutinho,AS Monaco,Wolverhampton,5.04,2017
76,Richarlison,Watford,Everton,40.5,2017
77,Diego Rico,Leganes,Bournemouth,13.5,2017
81,Danny Ward,Liverpool,Leicester City,12.6,2017
82,Alisson,AS Roma,Liverpool,75.0,2017
85,Felipe Anderson,Lazio,West Ham United,34.2,2017
86,Jorginho,Napoli,Chelsea,51.3,2017
87,Fabian Balbuena,Corinthians,West Ham United,3.6,2017
88,Jannik Vestergaard,B. Monchengladbach,Southampton,20.0,2017
90,Xherdan Shaqiri,Stoke City,Liverpool,13.23,2017
92,Jean Michael Seri,Nice,Fulham,17.0,2017
93,Maxime Le Marchand,Nice,Fulham,17.0,2017
94,Matteo Guendouzi,Lorient,Arsenal,9.0,2017
96,Lucas Torreira,Sampdoria,Arsenal,27.0,2017
97,Angus Gunn,Manchester City,Southampton,10.17,2017
98,Riyad Mahrez,Leicester City,Manchester City,68.0,2017
100,Bernardo,RB Leipzig,Brighton,9.0,2017
105,Adam Mesina,Bologna,Watford,4.5,2017
106,Sokratis,Bor. Dortmund,Arsenal,14.4,2017
107,Leo Bonatini,Al Hilal,Wolverhampton,3.6,2017
108,David Brooks,Sheffield United,Bournemouth,10.17,2017
109,Mohamed Elyounoussi,Basel,Southampton,18.0,2017
110,Bobby Reid,Bristol City,Cardiff,11.2,2017
112,Stuart Armstrong,Celtic,Southampton,7.16,2017
114,Fred,Shakhtar Donetsk,Manchester United,53.0,2017
115,Lukasz Fabianski,Swansea,West Ham,6.8,2017
117,James Maddison,Norwich City,Leicester City,22.5,2017
118,Bernd Leno,Bayer Leverkusen,Arsenal,22.5,2017
119,Issa Diop,Toulouse,West Ham United,22.5,2017
121,Marc Navarro,Espanyol,Watford,1.8,2017
125,Ramadan Sobhi,Stoke City,Huddersfield,5.85,2017
126,Gerard Deulofeu,Barcelona,Watford,13.0,2017
127,Jonny Evans,West Brom,Leicester,4.0,2017
131,Diogo Dalot,Porto,Manchester United,19.0,2017
133,Fred,Shakhtar Donetsk,Manchester United,53.1,2017
134,Benik Afobe,Bournemouth,Wolves,14.2,2017
135,Willy Boly,FC Porto,Wolves,12.0,2017
136,Diogo Jota,Atletico Madrid,Wolves,14.0,2017
137,Martin Dubravka,Sparta Praha,Newcastle United,4.0,2017
138,Fabinho,AS Monaco,Liverpool,45.0,2017
139,Florin Andone,Deportivo La Coruna,Brighton,6.0,2017
141,Ricardo Pereira,FC Porto,Leicester City,22.0,2017
142,Florent Hadergjonaj,Ingolstadt,Huddersfield,5.0,2017
143,Jonas Lossl,Mainz,Huddersfield,2.25,2017
37,David Luiz,Chelsea,Arsenal,8.7,2018
38,Alex Iwobi,Arsenal,Everton,30.0,2018
41,Ryan Sessegnon,Fulham,Tottenham,27.0,2018
42,Pedro Porro,Girona,Man City,12.0,2018
44,Dennis Praet,Sampdoria,Leicester,21.0,2018
46,Albian Ajeti,Basel,West Ham,8.7,2018
47,Emil Krafth,Amiens,Newcastle,5.4,2018
48,Ismaila Sarr,Rennes,Watford,30.0,2018
49,Kieran Tierney,Celtic,Arsenal,27.0,2018
50,Joao Cancelo,Juventus,Man City,65.0,2018
55,James McCarthy,Everton,Crystal Palace,3.2,2018
58,Ryan Sessegnon,Fulham,Tottenham,25.0,2018
59,Dennis Praet,Sampdoria,Leicester,20.0,2018
60,David Luiz,Chelsea,Arsenal,8.0,2018
67,Pedro Porro,Girona,Manchester City,11.0,2018
72,Goncalo Cardoso,Boavista,West Ham,2.7,2018
73,Neal Maupay,Brentford,Brighton,20.0,2018
75,Harry Maguire,Leicester City,Manchester United,88.0,2018
76,Moise Kean,Juventus,Everton,27.5,2018
77,Adam Webster,Bristol City,Brighton,20.0,2018
78,Bailey Peacock-Farrell,Leeds United,Burnley,3.0,2018
79,Oliver McBurnie,Swansea City,Sheffield United,20.0,2018
81,Allan Saint-Maximin,Nice,Newcastle United,16.2,2018
84,Jean-Philippe Gbamin,Mainz 05,Everton,22.5,2018
85,Arnaut Danjuma,Club Brugge,Bournemouth,15.0,2018
86,Tom Heaton,Burnley,Aston Villa,8.5,2018
87,Nicolas Pepe,Lille,Arsenal,72.0,2018
88,Marvelous Nakamba,Club Brugge,Aston Villa,12.0,2018
89,Patrick Cutrone,AC Milan,Wolves,17.0,2018
90,Philip Billing,Huddersfield,Bournemouth,15.0,2018
92,William Saliba,Saint-Etienne,Arsenal,30.0,2018
94,Douglas Luiz,Manchester City,Aston Villa,16.0,2018
95,Jordan Ayew,Swansea,Crystal Palace,3.0,2018
97,Trezeguet,Kasimpasa,Aston Villa,10.0,2018
98,Joelinton,Hoffenheim,Newcastle United,44.0,2018
99,Lys Mousset,Bournemouth,Sheffield United,11.1,2018
101,Sebastien Haller,Eintracht Frankfurt,West Ham,49.0,2018
104,Fabian Delph,Manchester City,Everton,9.5,2018
105,Ezri Konsa,Brentford,Aston Villa,13.3,2018
106,Jay Rodriguez,West Brom,Burnley,11.1,2018
107,Tyrone Mings,Bournemouth,Aston Villa,22.3,2018
108,Youri Tielemans,Monaco,Leicester,44.0,2018
109,Aidan Fitzpatrick,Partick Thistle,Norwich,0.35,2018
111,Jack Stacey,Luton,Bournemouth,4.4,2018
115,Ayoze Perez,Newcastle,Leicester,30.0,2018
117,Rodri Hernandez,Atletico Madrid,Manchester City,70.0,2018
119,Angeliño,PSV Eindhoven,Manchester City,10.8,2018
120,Mateo Kovacic,Real Madrid,Chelsea,45.0,2018
121,Danny Ings,Liverpool,Southampton,20.0,2018
122,Tanguy Ndombele,Lyon,Tottenham,55.0,2018
123,Daniel James,Swansea City,Manchester United,15.3,2018
124,Anwar El Ghazi,Lille,Aston Villa,8.1,2018
125,Wesley,Club Brugge,Aston Villa,22.5,2018
132,Pablo Fornals,Villarreal,West Ham United,28.0,2018
134,Sepp van den Berg,PEC Zwolle,Liverpool,1.8,2018
136,Matt Targett,Southampton,Aston Villa,14.0,2018
137,Che Adams,Birmingham,Southampton,15.1,2018
138,Craig Dawson,West Bromwich,Watford,5.5,2018
139,Aaron Wan-Bissaka,Crystal Palace,Manchester United,53.0,2018
140,Lloyd Kelly,Bristol City,Bournemouth,13.3,2018
143,Andre Gomes,Barcelona,Everton,24.5,2018
144,Kortney Hause,Wolverhampton,Aston Villa,2.7,2018
145,Leandro Trossard,Genk,Brighton,18.0,2018
0,Ben DaviesJan,Preston,Liverpool,0.575,2019
2,Moisés CaicedoJan,Independiente,Brighton,5.0,2019
20,Joe Rodon,Swansea,Tottenham,7.0,2019
21,Karlan Grant,Huddersfield,West Brom,8.0,2019
23,Jack Butland,Stoke City,Crystal Palace,1.1,2019
24,Terence Kongolo,Huddersfield,Fulham,4.4,2019
27,Marcelo Pitaluga,Fluminense,Liverpool,0.75,2019
28,Facundo Pellistri,Penarol,Manchester United,8.5,2019
29,Tosin Adarabioyo,Manchester City,Fulham,1.65,2019
30,Thomas Partey,Atletico Madrid,Arsenal,50.0,2019
33,Alex Telles,FC Porto,Manchester United,15.0,2019
37,Raphinha,Stade Rennais,Leeds,17.0,2019
39,Ben Godfrey,Norwich,Everton,27.5,2019
41,Ibrahima Diallo,Stade Brest,Southampton,15.0,2019
42,Rhian Brewster,Liverpool,Sheffield United,26.0,2019
44,Vladimir Coufal,Slavia Prague,West Ham,6.0,2019
45,Andi Zeqiri,Lausanne-Sport,Brighton,4.0,2019
49,Rúben Dias,Benfica,Manchester City,68.0,2019
50,Edouard Mendy,Rennes,Chelsea,25.0,2019
51,Dale Stephens,Brighton,Burnley,1.1,2019
52,Diego Llorente,Real Sociedad,Leeds United,20.0,2019
53,Nelson Semedo,Barcelona,Wolves,30.0,2019
54,Rúnar Alex Rúnarsson,Dijon,Arsenal,2.0,2019
56,Diogo Jota,Wolves,Liverpool,43.0,2019
57,Bertrand Traore,Lyon,Aston Villa,18.4,2019
58,Ki-Jana Hoever,Liverpool,Wolves,11.0,2019
60,Thiago Alcantara,Bayern Munich,Liverpool,30.0,2019
61,Emiliano Martínez,Arsenal,Aston Villa,17.44,2019
66,Jan Paul van Hecke,NAC Breda,Brighton,2.0,2019
67,Kenny Tete,Olympique Lyon,Fulham,3.2,2019
71,Ollie Watkins,Brentford,Aston Villa,27.5,2019
73,James Rodriguez,Real Madrid,Everton,25.0,2019
77,Abdoulaye Doucouré,Watford,Everton,22.1,2019
78,Jamal Lewis,Norwich,Newcastle ,16.5,2019
79,Callum Wilson,Bournemouth,Newcastle,22.25,2019
80,Fabio Silva,Porto,Wolves,40.0,2019
81,Marcal,Olympique Lyon,Wolves,2.0,2019
82,Grady Diangana,West Ham,West Brom,20.0,2019
83,David Button,Brighton,West Brom,1.1,2019
84,Allan,Napoli,Everton,25.0,2019
85,Timothy Castagne,Atalanta,Leicester,25.0,2019
86,Cédric Kipré,Wigan,West Brom,1.1,2019
87,Kai Havetz,Bayer Leverkusen,Chelsea,80.0,2019
88,Matty Cash,Nottingham Forest,Aston Villa,16.0,2019
89,Donny van de Beek,Ajax,Manchester United,39.0,2019
90,Gabriel Magalhães,Lille,Arsenal,26.0,2019
92,Matt Doherty,Wolves,Tottenham,16.8,2019
93,Harrison Reed,Southampton,Fulham,9.0,2019
94,Robin Koch,Freiburg,Leeds United,13.0,2019
95,Rodrigo,Valencia,Leeds United,30.0,2019
96,Eberechi Eze,QPR,Crystal Palace,17.8,2019
99,Ben Chilwell,Leicester,Chelsea,55.0,2019
101,Antonee Robinson,Wigan,Fulham,2.1,2019
103,Aaron Ramsdale,Bournemouth,Sheffield United,20.5,2019
107,Mohammed Salisu,Valladolid,Southampton,12.0,2019
108,Pierre-Emile Højbjerg,Southampton,Totenham,16.6,2019
109,Kyle Walker-Peters,Tottenham,Southampton,13.3,2019
110,Konstantinos Tsimikas,Olympiacos,Liverpool,13.0,2019
112,Joe Gelhardt,Wigan,Leeds United,1.0,2019
113,Nathan Aké,Bournemouth,Manchester City,45.3,2019
114,Ferran Torres,Valencia,Manchester City,23.0,2019
115,Joel Veltman,Ajax,Joel Veltman,1.0,2019
116,Issa Kabore,KV Mechelen,Manchester City,4.5,2019
118,Tomas Soucek,Slavia Prague,West Ham,16.2,2019
119,Illan Meslier,Lorient,Leeds United,6.5,2019
122,Pablo Mari,Flamengo,Arsenal,8.0,2019
123,Hakim Ziyech,Ajax,Chelsea,40.0,2019
30,Dan James,Manchester United,Leeds,25.0,2020
32,Marc Cucurella,Getafe,Brighton,18.0,2020
34,Emerson Royal,Barcelona,Tottenham,25.0,2020
35,Nikola Vlasic,CSKA,West Ham,29.1,2020
37,Abdallah Sima,Slavia Prague,Brighton,8.0,2020
39,Takehiro Tomiyasu,Bologna,Arsenal,18.6,2020
40,Odsonne Edouard,Celtic,Crystal Palace,16.3,2020
42,Maxwel Cornet,Olympique Lyon,Burnley,15.0,2020
45,Kurt Zouma,Chelsea,West Ham,35.0,2020
46,Will Hughes,Watford,Crystal Palace,7.0,2020
47,Cristiano Ronaldo,Juventus,Manchester United,25.0,2020
48,Pape Sarr,FC Metz,Tottenham,16.9,2020
49,Moussa Sissoko,Tottenham,Watford ,3.5,2020
50,Lyanco,Torino,Southampton,7.5,2020
53,Aaron Ramsdale,Sheffield United,Arsenal,28.0,2020
54, Martin Ødegaard,Real Madrid,Arsenal,35.0,2020
57,Raphael Varane,Real Madrid,Manchester United,40.0,2020
58,Joe Willock,Arsenal,Newcastle ,29.4,2020
59,Jannik Vestergaard,Southampton,Leicester City,17.6,2020
60,Christos Tzolis,PAOK Salonika,Norwich,11.0,2020
61,Romelu Lukaku,Inter,Chelsea,115.0,2020
62,Josh Sargent,Werder Bremen,Norwich,9.5,2020
66,Adam Armstrong,Blackburn,Southampton,17.7,2020
70,Jack Grealish,Aston Villa,Manchester City,117.5,2020
71,Leon Bailey,Bayer Leverkusen,Aston Villa,32.0,2020
72,Danny Ings,Southampton,Aston Villa,35.2,2020
74,Ben White,Brighton,Arsenal,58.0,2020
76,Joachim Andersen,Lyon,Crystal Palace,17.5,2020
80,Jadon Sancho,Borussia Dortmund,Manchester United,85.0,2020
81,Bryan Gil,Sevilla,Tottenham,25.0,2020
82,Demarai Gray,Bayer Leverkusen,Everton,2.0,2020
83,Kristoffer Ajer,Celtic,Brentford,15.0,2020
85,Albert Sambi Lokonga,Anderlecht,Arsenal,17.0,2020
86,Frank Onyeka,FC Midtjylland,Brentford,10.0,2020
88,Marc Guéhi,Chelsea,Crystal Palace,23.0,2020
91,José Sá,Olympiacos,Wolves,8.0,2020
93,Rayan Aït-Nouri,Angers,Wolves,11.0,2020
94,Nuno Tavares,Benfica,Arsenal,8.0,2020
95,Pierre Lees-Melou,Nice,Norwich,6.0,2020
96,Michael Olise,Reading,Crystal Palace,9.0,2020
97,Junior Firpo,Barcelona,Leeds,15.0,2020
102,Boubakary Soumare,LOSC Lille,Leicester City,20.0,2020
103,Romain Perraud,Stade Brest,Southampton,13.0,2020
104,Jack Harrison,Manchester City,Leeds,12.8,2020
105,Yerson Mosquera,Atletico Nacional,Wolves,5.2,2020
106,Emiliano Buendia,Norwich City,Aston Villa,38.3,2020
109,Milot Rashica,Werder Bremen,Norwich,11.0,2020
110,Ibrahima Konaté,RB Leipzing,Liverpool,40.0,2020
111,Angus Gunn,Southampton,Norwich,5.85,2020
112,Nathan Collins,Stoke City,Burnley,14.0,2020
113,Emmanuel Dennis,Club Brugge,Watford,4.0,2020
0,Casemiro,Real Madrid,Manchester United,70.0,2021
1,Morgan Gibbs-White,Wolves,Nottingham Forest ,29.5,2021
2,Cesare Casadei,Inter,Chelsea,15.0,2021
3,Thilo Kehrer,PSG,West Ham,12.0,2021
4,Matheus Nunes,Sporting CP,Wolves,45.0,2021
5,Sergio Gomez,Anderlecht,Manchester City,13.0,2021
6,Destiny Udogie,Udinese,Tottenham,18.0,2021
7,Pervis Estupinan,Villarreal,Brighton,17.8,2021
8,Remo Freuler,Atalanta,Nottingham Forest ,9.0,2021
10,Emmanuel Dennis,Watford,Nottingham Forest ,14.8,2021
12,Mikkel Damsgaard,Sampdoria,Brentford,15.0,2021
13,Issa Diop,West Ham,Fulham,17.8,2021
14,Amadou Onana,Lille,Everton,36.0,2021
16,Goncalo Guedes,Valencia,Wolves,32.6,2021
19,Marc Cucurella,Brighton,Chelsea,65.3,2021
22,Carney Chukwuemeka,Aston Villa,Chelsea,18.0,2021
23,Gabriel Slonina,Chicago Fire,Chelsea,9.0,2021
24,Marcus Tavernier,Middlesbrough,Bournemouth,11.9,2021
26,Orel Mangala,Stuttgart,Nottingham Forest,13.0,2021
27,Dwight McNeil,Burnley,Everton,23.0,2021
29,Kevin Mbabu,Wolfsburg,Fulham,7.0,2021
30,Chris Richards,Bayern Munich,Crystal Palace,12.0,2021
31,Gianluca Scamacca,Sassuolo,West Ham,36.0,2021
33,Oleksandr Zinchenko,Manchester City,Arsenal,35.0,2021
37,Sekou Mara,Bordeaux,Southampton,13.0,2021
38,Djed Spence,Middlesbrough,Tottenham,14.7,2021
39,Lisandro Martínez,Ajax,Manchester United,57.0,2021
40,Kalidou Koulibaly,Napoli,Chelsea,38.0,2021
43,Raheem Sterling,Manchester City,Chelsea,56.0,2021
45,Keane Lewis-Potter,Hull City,Brentford,19.0,2021
46,Nathan Collins,Burnley,Wolves,24.3,2021
48,Andreas Pereira,Manchester United,Fulham,9.5,2021
49,Neco WIlliams,Liverpool,Nottingham Forest,20.0,2021
50,Cheick Doucoure,Lens,Crystal Palace,21.3,2021
51,Omar Richards,Bayern Munich,Nottingham Forest ,8.5,2021
52,Joe Aribo,Rangers,Southampton ,7.1,2021
53,Aaron Hickey,Bologna,Brentford,16.5,2021
55,Flynn Downes,Swansea,West Ham,10.65,2021
56,Luis Sinisterra,Feyenoord,Leeds,25.0,2021
57,Romeo Lavia,Manchester City,Southampton,12.3,2021
58,Moussa Niakhate,Mainz,Nottingham Forest ,10.0,2021
59,Tyler Adams,RB Leipzig,Leeds,17.0,2021
60,Tyrell Malacia,Feyenoord,Manchester United,15.0,2021
61,Gabriel Jesus,Manchester City,Arsenal,52.26,2021
63,Darko Gyabi,Manchester City,Leeds,5.8,2021
64,Kalvin Phillips,Leeds ,Manchester City,49.0,2021
65,Giulian Biancone,Troyes,Nottingham Forest ,10.0,2021
69,Darwin Nunez,Benfica,Liverpool,75.0,2021
71,Rasmus Kristensen,Salzburg,Leeds,13.0,2021
72,Robin Olsen,Roma,Aston Villa,3.5,2021
73,Yves Bissouma,Brighton,Tottenham,29.2,2021
74,Matt Targett,Aston Villa,Newcastle,17.0,2021
77,Diego Carlos,Sevilla,Aston Villa,31.0,2021
79,Fabio Vieira,Porto,Arsenal,35.0,2021
80,Philippe Coutinho,Barcelona,Aston Villa,20.0,2021
81,Hee-chan Hwang,RB Leipzig,Wolves,16.7,2021
82,Matt Turner,New England Revolution,Arsenal,6.36,2021
84,Brenden Aaronson,Salzburg,Leeds,32.84,2021
87,Alphonse Areola,PSG,West Ham,12.0,2021
88,Simon Adingra,Nordsjaelland,Brighton,8.0,2021
90,Sven Botman,Lille,Newcastle,37.0,2021
92,Richarlison,Everton,Tottenham,69.0,2021
93,Taiwo Awoniyi,Union Berlin,Nottingham Forest,20.0,2021
94,Erling Haaland,Borussia Dortmund,Manchester City,75.0,2021
95,Julio Enciso,Libertad,Brighton,11.6,2021
96,Marc Roca,Bayern Munich,Leeds,12.0,2021
97,Calvin Ramsay,Aberdeen,Liverpool,4.9,2021
98,Gavin Bazunu,Manchester City,Southampton,14.0,2021
99,Nick Pope,Burnley,Newcastle,11.5,2021
100,Armel Bella-Kotchap,Bochum,Southampton,10.0,2021
101,Nayef Aguerd,Stade Rennais,West Ham,35.0,2021
37,William Vainqueur,Roma,Antalyaspor,0.5,2016
38,Pedro Rocha,Gremio,Spartak Moscow,12.0,2016
52,Pape Cheikh,Celta Vigo,Olympique Lyon,10.0,2016
53,Stevan Jovetic,Inter Milan,AS Monaco,11.0,2016
55,Keita Balde,Lazio,AS Monaco,30.0,2016
57,Siem de Jong,Newcastle,Ajax,4.3,2016
60,Maximilian Wöber,Rapid Wien,Ajax,7.5,2016
61,Samir Nasri,Manchester City,Antalyaspor,3.5,2016
64,Sofiane Feghouli,West Ham,Galatasaray,4.25,2016
65,Roberto Soldado,Villarreal,Fenerbahce,5.0,2016
66,Gary Medel,Inter Milan,Besiktas,3.0,2016
68,Gabriel Silva,Udinese,Saint-Etienne,2.5,2016
69,Matias Kranevitter,Atletico Madrid,Zenit,8.0,2016
70,Jonathan Cafu,Ludogorets,Bordeaux,7.5,2016
72,Allan Saint-Maximin,AS Monaco,OGC Nice,10.0,2016
74,Jeremain Lens,Sunderland,Besiktas,5.0,2016
75,Fernando,Manchester City,Galatasaray,5.25,2016
76,Neymar,Barcelona,PSG,222.0,2016
77,Burak Yilmaz,BJ Sinobo Guoan,Trabzonspor,4.0,2016
79,Alvaro Negredo,Valencia,Besiktas,2.4,2016
82,Emanuel Mammana,Olympique Marseille,Zenit,16.0,2016
83,Ciprian Tatarusanu,Fiorentina,Nantes,2.5,2016
84,Ismaila Sarr,Metz,Rennes,17.0,2016
85,Hrvoje Milic,Fiorentina,Olympiacos,1.5,2016
90,Adil Rami,Sevilla,Marseille,6.0,2016
93,Juraj Kucka,AC Milan,Trabzonspor,6.0,2016
95,Yuri Berchiche,Real Sociedad ,PSG,16.0,2016
96,Clinton N'Jie,Tottenham,Marseille,7.0,2016
99,Terence Kongolo,Feyenoord,AS Monaco,13.0,2016
101,Luiz Gustavo,Volfsburg,Marseille,10.0,2016
103,Thiago Mendes,Sao Paulo,Lille,9.0,2016
104,Bertrand Traore,Chelsea,Olympique Lyon,10.0,2016
105,Leandro Paredes,Roma,Zenit,23.0,2016
106,Younes Belhanda,Dynamo Kyiv,Galatasaray,8.0,2016
107,Ferland Mendy,Le Havre,Olympique Lyon,5.0,2016
108,Hirving Lozano,Pachuca,PSV ,8.0,2016
109,Yousouff Sabaly,PSG,Bordeaux,4.0,2016
110,Maicon,Sao Paulo,Galatasaray,7.0,2016
111,Mariano Diaz,Real Madrid,Olympique Lyon,8.0,2016
58,Eros Grezda,NK Osijek,Rangers,1.8,2017
64,Moussa Dembele,Celtic,Olympique Lyon,19.8,2017
67,Juan Bernat,Bayern Munich,Paris SG,12.6,2017
