,Player,From,To,Price_m,Year
119,Edu Exposito,Deportivo,Eibar,4.0,2018
122,Maxi Gomez,Celta Vigo,Valencia,14.5,2018
123,Oliver Torres,Porto,Sevilla,12.0,2018
124,Domingos Duarte,Sporting CP,Granada,3.0,2018
125,Matias Vargas,Velez Sarsfield,Espanyol,10.5,2018
126,Antoine Griezmann,Atletico Madrid,Barcelona,120.0,2018
127,Louie Barry,West Brom,Barcelona,0.26,2018
128,Joseph Aidoo,Genk,Celta Vigo,8.0,2018
129,Fernando,Galatasaray,Sevilla,4.5,2018
131,Enric Gallego,Huesca,Getafe,6.0,2018
139,Ruben Peña,Eibar,Villarreal,7.2,2018
141,Raul Albiol,Napoli,Villarreal,4.5,2018
143,Jules Kounde,Bordeaux,Sevilla,22.5,2018
145,Gonzalo Melero,Huesca,Levante,3.24,2018
147,Joao Felix,Benfica,Atletico Madrid,126.0,2018
148,Lucas Ocampos,Marseille,Sevilla,13.5,2018
150,Luka Jovic,Frankfurt,Real Madrid,60.0,2018
151,Luuk de Jong,PSV,Sevilla,12.5,2018
154,Juan Munoz,Alcorcon,Leganes,0.9,2018
155,Fede Vico,Leganes,Granada,0.225,2018
156,Eden Hazard,Chelsea,Real Madrid,100.0,2018
159,Ramon Mierez,Tigre,Alaves,2.0,2018
161,Juanmi,Real Sociedad,Real Betis,7.2,2018
162,Ferland Mendy,Olympique Lyon,Real Madrid,43.2,2018
163,Sergio Leon,Real Betis,Levante,1.8,2018
164,Diego Carlos,Nantes,Sevilla,15.0,2018
165,Pedro Bigas,UD Las Palmas,Eibar,2.7,2018
166,Eder Militao,FC Porto,Real Madrid,45.0,2018
167,Manu Vallejo,Cadiz,Valencia,5.0,2018
168,Emerson,Atletico MG,FC Barcelona,10.8,2018
169,Ludovit Reis,Groningen,FC Barcelona,2.93,2018
170,Marc Cucurella,FC Barcelona,Eibar,1.8,2018
171,Lucas Perez,West Ham United,Alaves,2.07,2018
172,Portu,Girona,Real Sociedad,9.0,2018
173,Fali,Gimnàstic,Cadiz,0.25,2018
174,Felipe,FC Porto,Atletico Madrid,18.0,2018
175,Jonathan Silva,Sporting Lisbon,Leganes,2.7,2018
176,Marc Cardona,FC Barcelona,Osasuna,2.25,2018
177,Denis Suarez,FC Barcelona,Celta Vigo,11.0,2018
178,Denis Cheryshev,Villarreal,Valencia,6.0,2018
179,Denis Suarez,Barcelona,Celta Vigo,12.9,2018
181,Ruben Vezo,Valencia,Levante,4.5,2018
182,Luis Rioja,Almeria,Alaves,1.8,2018
183,Munas Dabbur,RB Salzburg,Sevilla,13.5,2018
189,Martin Valjent,Chievo Verona,Mallorca,1.35,2018
190,Alvaro Tejero,Real Madrid Castilla,Eibar,0.9,2018
192,Ruben Garcia,Levante,Osasuna,2.7,2018
193,Jasper Cillessen,FC Barcelona,Valencia,35.0,2018
194,Chimy Avila,San Lorenzo,Osasuna,2.43,2018
197,Neto,Valencia,FC Barcelona,23.4,2018
198,Marcos Llorente,Real Madrid,Atletico Madrid,36.0,2018
31,Oussama Idrissi,AZ Alkmaar,Sevilla,12.0,2019
35,Karim Rekik,Hertha,Sevilla,4.0,2019
41,Sergiño Dest,Ajax,Barcelona,21.0,2019
50,Raul Guti,Zaragoza,Elche,5.0,2019
52,Dimitris Siovas,Leganes,SD Huesca,1.0,2019
54,Pervis Estupiñán,Watford,Villarreal,16.4,2019
55,Borja García,Girona,Huesca,2.1,2019
57,Marcos Acuña,Sporting,Sevilla,10.5,2019
64,Gerónimo Rulli,Real Sociedad,Villarreal,7.5,2019
65,Bono,Girona,Sevilla,4.0,2019
68,Shon Weissman,Wolfsberger AC,Real Valladolid,4.0,2019
69,Miralem Pjanic,Juventus,Barcelona,60.0,2019
