,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Year,From,To,Price
1526,1527,Rolando Mandragora,ITA,MF,Crotone,Serie A,20,1997,36,36,"3,240",36.0,2,0,2,0,0,8,0,0.06,0.00,0.06,0.06,0.06,2.2,2.2,1.5,3.7,0.06,0.04,0.10,0.06,0.10,2017,Juventus,Udinese,18
1558,1559,Marlon,BRA,DF,Nice,Ligue 1,21,1995,23,22,"1,929",21.4,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.6,0.01,0.01,0.03,0.01,0.03,2017,FC Barcelona,Sassuolo,5.4
1578,1579,Omar Mascarell,ESP,MF,Eint Frankfurt,Bundesliga,24,1993,9,8,771,8.6,1,0,1,0,0,4,0,0.12,0.00,0.12,0.12,0.12,0.2,0.2,0.7,0.9,0.03,0.08,0.10,0.03,0.10,2017,Frankfurt,Schalke 04,10
1599,1600,Alfie Mawson,ENG,DF,Swansea City,Premier League,23,1994,38,38,"3,420",38.0,2,1,2,0,0,3,0,0.05,0.03,0.08,0.05,0.08,1.9,1.9,0.4,2.3,0.05,0.01,0.06,0.05,0.06,2017,Swansea,Fulham,15.1
1610,1611,Chancel Mbemba,COD,DF,Newcastle Utd,Premier League,22,1994,9,7,672,7.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.00,0.07,0.07,0.00,0.07,2017,Newcastle,FC Porto,7.2
1645,1646,Hamza Mendyl,MAR,DF,Lille,Ligue 1,19,1997,12,9,851,9.5,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.8,0.02,0.06,0.08,0.02,0.08,2017,Lille,Schalke 04,5.5
1648,1649,Alex Meret,ITA,GK,SPAL,Serie A,20,1997,13,13,"1,158",12.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017,Udinese,Napoli,19.8
1673,1674,Yerry Mina,COL,DF,Barcelona,La Liga,22,1994,5,4,371,4.1,0,1,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24,0.2,0.2,0.1,0.3,0.06,0.02,0.08,0.06,0.08,2017,FC Barcelona,Everton,32
1675,1676,Ignasi Miquel,ESP,DF,Málaga,La Liga,24,1992,20,20,"1,773",19.7,0,1,0,0,0,5,1,0.00,0.05,0.05,0.00,0.05,0.5,0.5,0.1,0.6,0.03,0.01,0.03,0.03,0.03,2017,Malaga,Getafe,4.5
1678,1679,Antonio Mirante,ITA,GK,Bologna,Serie A,34,1983,33,33,"2,970",33.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00,2017,Bologna,AS Roma,3.6
1679,1680,Simone Missiroli,ITA,MF,Sassuolo,Serie A,31,1986,35,33,"2,918",32.4,1,1,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,2.3,2.3,2.5,4.8,0.07,0.08,0.15,0.07,0.15,2017,Sassuolo,SPAL,2.25
1687,1688,Johan Mojica,COL,DF,Girona,La Liga,24,1992,30,22,"2,135",23.7,0,4,0,0,0,6,0,0.00,0.17,0.17,0.00,0.17,0.7,0.7,2.7,3.3,0.03,0.11,0.14,0.03,0.14,2017,Rayo Vallecano,Girona,4.5
1711,1712,Gerard Moreno,ESP,FW,Espanyol,La Liga,25,1992,38,38,"3,412",37.9,16,1,15,1,2,4,0,0.42,0.03,0.45,0.40,0.42,16.7,15.1,4.4,19.5,0.44,0.12,0.56,0.40,0.51,2017,Espanyol,Villarreal,18
1765,1766,Yuto Nagatomo,JPN,DF,Inter,Serie A,30,1986,11,9,790,8.8,0,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.1,0.1,0.6,0.7,0.01,0.07,0.08,0.01,0.08,2017,Inter Milan,Galatasaray,2.25
1768,1769,Radja Nainggolan,BEL,MF,Roma,Serie A,29,1988,31,31,"2,613",29.0,4,7,4,0,0,7,2,0.14,0.24,0.38,0.14,0.38,3.7,3.7,6.9,10.6,0.13,0.24,0.37,0.13,0.37,2017,Roma,Inter Milan,24
