,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Year,From,To,Price
3531,805,Jordan Ferri,FRA,MF,Nîmes,Ligue 1,26,1992,24,21,"1,874",20.8,2,1,2,0,0,5,0,0.10,0.05,0.14,0.10,0.14,1.1,1.1,2.2,3.3,0.05,0.11,0.16,0.05,0.16,2018,Lyon,Montpellier,2
3532,805,Jordan Ferri,FRA,MF,Nîmes,Ligue 1,26,1992,24,21,"1,874",20.8,2,1,2,0,0,5,0,0.10,0.05,0.14,0.10,0.14,1.1,1.1,2.2,3.3,0.05,0.11,0.16,0.05,0.16,2018,Lyon,Montpellier,2
3536,809,Junior Firpo,ESP,DF,Betis,La Liga,21,1996,24,22,"1,937",21.5,3,4,3,0,0,7,0,0.14,0.19,0.33,0.14,0.33,2.0,2.0,2.1,4.2,0.09,0.10,0.19,0.09,0.19,2018,Real Betis,FC Barcelona,18
3537,809,Junior Firpo,ESP,DF,Betis,La Liga,21,1996,24,22,"1,937",21.5,3,4,3,0,0,7,0,0.14,0.19,0.33,0.14,0.33,2.0,2.0,2.1,4.2,0.09,0.10,0.19,0.09,0.19,2018,Real Betis,FC Barcelona,18
3552,824,Pablo Fornals,ESP,MF,Villarreal,La Liga,22,1996,35,28,"2,479",27.5,2,3,2,0,0,4,0,0.07,0.11,0.18,0.07,0.18,4.3,4.3,4.8,9.1,0.16,0.18,0.33,0.16,0.33,2018,Villarreal,West Ham United,28
3553,824,Pablo Fornals,ESP,MF,Villarreal,La Liga,22,1996,35,28,"2,479",27.5,2,3,2,0,0,4,0,0.07,0.11,0.18,0.07,0.18,4.3,4.3,4.8,9.1,0.16,0.18,0.33,0.16,0.33,2018,Villarreal,West Ham United,28
3576,847,Niclas Füllkrug,GER,FW,Hannover 96,Bundesliga,25,1993,14,13,"1,112",12.4,2,1,1,1,1,1,0,0.16,0.08,0.24,0.08,0.16,3.7,2.9,1.0,3.9,0.30,0.08,0.38,0.24,0.32,2018,Hannover 96,Werder Bremen,5.85
3577,847,Niclas Füllkrug,GER,FW,Hannover 96,Bundesliga,25,1993,14,13,"1,112",12.4,2,1,1,1,1,1,0,0.16,0.08,0.24,0.08,0.16,3.7,2.9,1.0,3.9,0.30,0.08,0.38,0.24,0.32,2018,Hannover 96,Werder Bremen,5.85
3589,859,Enric Gallego,ESP,FW,Huesca,La Liga,31,1986,19,17,"1,539",17.1,5,1,5,0,0,4,0,0.29,0.06,0.35,0.29,0.35,3.6,3.6,1.7,5.3,0.21,0.10,0.31,0.21,0.31,2018,Huesca,Getafe,6
3590,859,Enric Gallego,ESP,FW,Huesca,La Liga,31,1986,19,17,"1,539",17.1,5,1,5,0,0,4,0,0.29,0.06,0.35,0.29,0.35,3.6,3.6,1.7,5.3,0.21,0.10,0.31,0.21,0.31,2018,Huesca,Getafe,6
3615,884,Jean-Philippe Gbamin,CIV,MF,Mainz 05,Bundesliga,22,1995,31,30,"2,672",29.7,2,1,2,0,0,3,0,0.07,0.03,0.10,0.07,0.10,1.4,1.4,1.8,3.2,0.05,0.06,0.11,0.05,0.11,2018,Mainz 05,Everton,22.5
3616,884,Jean-Philippe Gbamin,CIV,MF,Mainz 05,Bundesliga,22,1995,31,30,"2,672",29.7,2,1,2,0,0,3,0,0.07,0.03,0.10,0.07,0.10,1.4,1.4,1.8,3.2,0.05,0.06,0.11,0.05,0.11,2018,Mainz 05,Everton,22.5
3698,966,Antoine Griezmann,FRA,FW,Atlético Madrid,La Liga,27,1991,37,37,"3,198",35.5,15,8,12,3,3,5,0,0.42,0.23,0.65,0.34,0.56,13.7,11.4,6.8,18.2,0.39,0.19,0.58,0.32,0.51,2018,Atletico Madrid,Barcelona,120
3699,966,Antoine Griezmann,FRA,FW,Atlético Madrid,La Liga,27,1991,37,37,"3,198",35.5,15,8,12,3,3,5,0,0.42,0.23,0.65,0.34,0.56,13.7,11.4,6.8,18.2,0.39,0.19,0.58,0.32,0.51,2018,Atletico Madrid,Barcelona,120
3770,1037,Eden Hazard,BEL,FW,Chelsea,Premier League,27,1991,37,32,"2,923",32.5,16,15,12,4,4,2,0,0.49,0.46,0.95,0.37,0.83,11.7,8.7,9.9,18.6,0.36,0.30,0.67,0.27,0.57,2018,Chelsea,Real Madrid,100
3771,1037,Eden Hazard,BEL,FW,Chelsea,Premier League,27,1991,37,32,"2,923",32.5,16,15,12,4,4,2,0,0.49,0.46,0.95,0.37,0.83,11.7,8.7,9.9,18.6,0.36,0.30,0.67,0.27,0.57,2018,Chelsea,Real Madrid,100
3772,1038,Thorgan Hazard,BEL,FW,M'Gladbach,Bundesliga,25,1993,33,33,"2,873",31.9,10,11,7,3,5,1,0,0.31,0.34,0.66,0.22,0.56,11.3,7.5,8.9,16.4,0.35,0.28,0.63,0.23,0.51,2018,Monchengladbach,Bor. Dortmund,22.5
3773,1038,Thorgan Hazard,BEL,FW,M'Gladbach,Bundesliga,25,1993,33,33,"2,873",31.9,10,11,7,3,5,1,0,0.31,0.34,0.66,0.22,0.56,11.3,7.5,8.9,16.4,0.35,0.28,0.63,0.23,0.51,2018,Monchengladbach,Bor. Dortmund,22.5
3775,1040,Tom Heaton,ENG,GK,Burnley,Premier League,32,1986,19,19,"1,710",19.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,2018,Burnley,Aston Villa,8.5
3776,1040,Tom Heaton,ENG,GK,Burnley,Premier League,32,1986,19,19,"1,710",19.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,2018,Burnley,Aston Villa,8.5
3788,1052,Mario Hermoso,ESP,DF,Espanyol,La Liga,23,1995,32,31,"2,806",31.2,3,0,3,0,0,7,0,0.10,0.00,0.10,0.10,0.10,1.8,1.8,0.1,1.9,0.06,0.00,0.06,0.06,0.06,2018,Espanyol,Atletico Madrid,25
3789,1052,Mario Hermoso,ESP,DF,Espanyol,La Liga,23,1995,32,31,"2,806",31.2,3,0,3,0,0,7,0,0.10,0.00,0.10,0.10,0.10,1.8,1.8,0.1,1.9,0.06,0.00,0.06,0.06,0.06,2018,Espanyol,Atletico Madrid,25
3803,1066,Oscar Hiljemark,SWE,MF,Genoa,Serie A,26,1992,17,15,"1,196",13.3,1,0,1,0,0,0,0,0.08,0.00,0.08,0.08,0.08,1.2,1.2,0.7,1.9,0.09,0.05,0.14,0.09,0.14,2018,Genoa,Dinamo Moscow,"500,000"
3804,1066,Oscar Hiljemark,SWE,MF,Genoa,Serie A,26,1992,17,15,"1,196",13.3,1,0,1,0,0,0,0,0.08,0.00,0.08,0.08,0.08,1.2,1.2,0.7,1.9,0.09,0.05,0.14,0.09,0.14,2018,Genoa,Dinamo Moscow,"500,000"
3806,1068,Martin Hinteregger,AUT,DF,Eint Frankfurt,Bundesliga,25,1992,14,14,"1,142",12.7,1,0,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,0.9,0.9,0.1,1.0,0.08,0.01,0.09,0.08,0.09,2018,Augsburg,Eintracht Frankfurt,12
3807,1068,Martin Hinteregger,AUT,DF,Eint Frankfurt,Bundesliga,25,1992,14,14,"1,142",12.7,1,0,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,0.9,0.9,0.1,1.0,0.08,0.01,0.09,0.08,0.09,2018,Augsburg,Eintracht Frankfurt,12
3808,1069,Martin Hinteregger,AUT,DF,Augsburg,Bundesliga,25,1992,18,18,"1,575",17.5,2,0,2,0,0,0,0,0.11,0.00,0.11,0.11,0.11,1.2,1.2,0.4,1.6,0.07,0.02,0.09,0.07,0.09,2018,Augsburg,Eintracht Frankfurt,12
3809,1069,Martin Hinteregger,AUT,DF,Augsburg,Bundesliga,25,1992,18,18,"1,575",17.5,2,0,2,0,0,0,0,0.11,0.00,0.11,0.11,0.11,1.2,1.2,0.4,1.6,0.07,0.02,0.09,0.07,0.09,2018,Augsburg,Eintracht Frankfurt,12
3850,1110,Borja Iglesias,ESP,FW,Espanyol,La Liga,25,1993,37,35,"3,075",34.2,17,3,14,3,3,5,0,0.50,0.09,0.59,0.41,0.50,16.6,14.3,3.5,17.8,0.49,0.10,0.59,0.42,0.52,2018,Espanyol,Real Betis,25.2
3851,1110,Borja Iglesias,ESP,FW,Espanyol,La Liga,25,1993,37,35,"3,075",34.2,17,3,14,3,3,5,0,0.50,0.09,0.59,0.41,0.50,16.6,14.3,3.5,17.8,0.49,0.10,0.59,0.42,0.52,2018,Espanyol,Real Betis,25.2
3864,1123,Danny Ings,ENG,FW,Southampton,Premier League,26,1992,24,23,"1,651",18.3,7,3,4,3,3,1,0,0.38,0.16,0.55,0.22,0.38,9.5,7.2,2.8,10.0,0.52,0.15,0.67,0.39,0.54,2018,Liverpool,Southampton,20
3865,1123,Danny Ings,ENG,FW,Southampton,Premier League,26,1992,24,23,"1,651",18.3,7,3,4,3,3,1,0,0.38,0.16,0.55,0.22,0.38,9.5,7.2,2.8,10.0,0.52,0.15,0.67,0.39,0.54,2018,Liverpool,Southampton,20
3869,1127,Takashi Inui,JPN,FW,Betis,La Liga,30,1988,8,5,377,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.2,1.5,0.32,0.04,0.36,0.32,0.36,2018,Real Betis,Eibar,2
3870,1127,Takashi Inui,JPN,FW,Betis,La Liga,30,1988,8,5,377,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.2,1.5,0.32,0.04,0.36,0.32,0.36,2018,Real Betis,Eibar,2
3871,1128,Takashi Inui,JPN,MF,Alavés,La Liga,30,1988,12,10,828,9.2,2,0,2,0,0,0,0,0.22,0.00,0.22,0.22,0.22,1.6,1.6,0.4,2.0,0.17,0.04,0.21,0.17,0.21,2018,Real Betis,Eibar,2
3872,1128,Takashi Inui,JPN,MF,Alavés,La Liga,30,1988,12,10,828,9.2,2,0,2,0,0,0,0,0.22,0.00,0.22,0.22,0.22,1.6,1.6,0.4,2.0,0.17,0.04,0.21,0.17,0.21,2018,Real Betis,Eibar,2
3883,1139,Alex Iwobi,NGA,FW,Arsenal,Premier League,22,1996,35,22,"1,970",21.9,3,6,3,0,0,0,0,0.14,0.27,0.41,0.14,0.41,3.7,3.7,6.0,9.6,0.17,0.27,0.44,0.17,0.44,2018,Arsenal,Everton,30
3884,1139,Alex Iwobi,NGA,FW,Arsenal,Premier League,22,1996,35,22,"1,970",21.9,3,6,3,0,0,0,0,0.14,0.27,0.41,0.14,0.41,3.7,3.7,6.0,9.6,0.17,0.27,0.44,0.17,0.44,2018,Arsenal,Everton,30
3918,1173,Joelinton,BRA,FW,Hoffenheim,Bundesliga,21,1996,28,25,"2,130",23.7,7,5,7,0,0,5,0,0.30,0.21,0.51,0.30,0.51,9.3,9.3,4.2,13.5,0.39,0.18,0.57,0.39,0.57,2018,Hoffenheim,Newcastle United,44
3919,1173,Joelinton,BRA,FW,Hoffenheim,Bundesliga,21,1996,28,25,"2,130",23.7,7,5,7,0,0,5,0,0.30,0.21,0.51,0.30,0.51,9.3,9.3,4.2,13.5,0.39,0.18,0.57,0.39,0.57,2018,Hoffenheim,Newcastle United,44
3946,1200,Juanmi,ESP,FW,Real Sociedad,La Liga,25,1993,30,16,"1,523",16.9,5,2,5,0,0,5,1,0.30,0.12,0.41,0.30,0.41,6.4,6.4,1.5,7.9,0.38,0.09,0.47,0.38,0.47,2018,Real Sociedad,Real Betis,7.2
3947,1200,Juanmi,ESP,FW,Real Sociedad,La Liga,25,1993,30,16,"1,523",16.9,5,2,5,0,0,5,1,0.30,0.12,0.41,0.30,0.41,6.4,6.4,1.5,7.9,0.38,0.09,0.47,0.38,0.47,2018,Real Sociedad,Real Betis,7.2
3951,1204,Christopher Jullien,FRA,DF,Toulouse,Ligue 1,25,1993,34,34,"3,015",33.5,1,0,1,0,0,8,0,0.03,0.00,0.03,0.03,0.03,2.6,2.6,0.4,3.0,0.08,0.01,0.09,0.08,0.09,2018,Toulouse,Celtic,7.2
3952,1204,Christopher Jullien,FRA,DF,Toulouse,Ligue 1,25,1993,34,34,"3,015",33.5,1,0,1,0,0,8,0,0.03,0.00,0.03,0.03,0.03,2.6,2.6,0.4,3.0,0.08,0.01,0.09,0.08,0.09,2018,Toulouse,Celtic,7.2
3959,1211,Ozan Kabak,TUR,DF,Stuttgart,Bundesliga,18,2000,15,15,"1,350",15.0,3,0,3,0,0,4,0,0.20,0.00,0.20,0.20,0.20,1.1,1.1,0.3,1.3,0.07,0.02,0.09,0.07,0.09,2018,Stuttgart,Schalke 04,13.5
3960,1211,Ozan Kabak,TUR,DF,Stuttgart,Bundesliga,18,2000,15,15,"1,350",15.0,3,0,3,0,0,4,0,0.20,0.00,0.20,0.20,0.20,1.1,1.1,0.3,1.3,0.07,0.02,0.09,0.07,0.09,2018,Stuttgart,Schalke 04,13.5
3992,1243,Moise Kean,ITA,FW,Juventus,Serie A,18,2000,13,5,541,6.0,6,0,6,0,0,2,0,1.00,0.00,1.00,1.00,1.00,3.4,3.4,0.2,3.6,0.56,0.04,0.60,0.56,0.60,2018,Juventus,Everton,27.5
3993,1243,Moise Kean,ITA,FW,Juventus,Serie A,18,2000,13,5,541,6.0,6,0,6,0,0,2,0,1.00,0.00,1.00,1.00,1.00,3.4,3.4,0.2,3.6,0.56,0.04,0.60,0.56,0.60,2018,Juventus,Everton,27.5
4052,1302,Laurent Koscielny,FRA,DF,Arsenal,Premier League,32,1985,17,13,"1,331",14.8,3,0,3,0,0,1,0,0.20,0.00,0.20,0.20,0.20,1.6,1.6,0.1,1.7,0.11,0.01,0.11,0.11,0.11,2018,Arsenal,Bordeaux,4.5
4053,1302,Laurent Koscielny,FRA,DF,Arsenal,Premier League,32,1985,17,13,"1,331",14.8,3,0,3,0,0,1,0,0.20,0.00,0.20,0.20,0.20,1.6,1.6,0.1,1.7,0.11,0.01,0.11,0.11,0.11,2018,Arsenal,Bordeaux,4.5
4064,1313,Emil Krafth,SWE,DF,Amiens,Ligue 1,23,1994,35,33,"2,974",33.0,1,1,1,0,0,2,0,0.03,0.03,0.06,0.03,0.06,0.7,0.7,2.4,3.1,0.02,0.07,0.09,0.02,0.09,2018,Amiens,Newcastle,5.4
4065,1313,Emil Krafth,SWE,DF,Amiens,Ligue 1,23,1994,35,33,"2,974",33.0,1,1,1,0,0,2,0,0.03,0.03,0.06,0.03,0.06,0.7,0.7,2.4,3.1,0.02,0.07,0.09,0.02,0.09,2018,Amiens,Newcastle,5.4
4129,1377,Benjamin Lecomte,FRA,GK,Montpellier,Ligue 1,27,1991,37,37,"3,330",37.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.00,0.00,0.00,0.00,2018,Montpellier,Monaco,13.5
4130,1377,Benjamin Lecomte,FRA,GK,Montpellier,Ligue 1,27,1991,37,37,"3,330",37.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.00,0.00,0.00,0.00,2018,Montpellier,Monaco,13.5
4165,1412,Marcos Llorente,ESP,MF,Real Madrid,La Liga,23,1995,7,6,540,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.02,0.05,0.07,0.02,0.07,2018,Real Madrid,Atletico Madrid,36
4166,1412,Marcos Llorente,ESP,MF,Real Madrid,La Liga,23,1995,7,6,540,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.02,0.05,0.07,0.02,0.07,2018,Real Madrid,Atletico Madrid,36
4179,1425,Ademola Lookman,NGA,FW,Everton,Premier League,20,1997,21,3,618,6.9,0,2,0,0,0,0,0,0.00,0.29,0.29,0.00,0.29,1.4,1.4,1.2,2.6,0.21,0.17,0.38,0.21,0.38,2018,Everton,RB Leipzig,18
4180,1425,Ademola Lookman,NGA,FW,Everton,Premier League,20,1997,21,3,618,6.9,0,2,0,0,0,0,0,0.00,0.29,0.29,0.00,0.29,1.4,1.4,1.2,2.6,0.21,0.17,0.38,0.21,0.38,2018,Everton,RB Leipzig,18
4182,1427,Rony Lopes,POR,FW,Monaco,Ligue 1,22,1995,24,22,"1,849",20.5,2,2,2,0,0,1,0,0.10,0.10,0.19,0.10,0.19,5.0,5.0,4.1,9.1,0.24,0.20,0.44,0.24,0.44,2018,Monaco,Sevilla,20
4183,1427,Rony Lopes,POR,FW,Monaco,Ligue 1,22,1995,24,22,"1,849",20.5,2,2,2,0,0,1,0,0.10,0.10,0.19,0.10,0.19,5.0,5.0,4.1,9.1,0.24,0.20,0.44,0.24,0.44,2018,Monaco,Sevilla,20
4201,1445,Eduard Löwen,GER,MF,Nürnberg,Bundesliga,21,1997,22,17,"1,623",18.0,3,2,3,0,0,3,0,0.17,0.11,0.28,0.17,0.28,2.0,2.0,1.5,3.6,0.11,0.08,0.20,0.11,0.20,2018,Nuremberg,Hertha Berlin,6.3
4202,1445,Eduard Löwen,GER,MF,Nürnberg,Bundesliga,21,1997,22,17,"1,623",18.0,3,2,3,0,0,3,0,0.17,0.11,0.28,0.17,0.28,2.0,2.0,1.5,3.6,0.11,0.08,0.20,0.11,0.20,2018,Nuremberg,Hertha Berlin,6.3
4211,1454,David Luiz,BRA,DF,Chelsea,Premier League,31,1987,36,36,"3,238",36.0,3,2,3,0,0,3,0,0.08,0.06,0.14,0.08,0.14,2.4,2.4,2.0,4.4,0.07,0.06,0.12,0.07,0.12,2018,Chelsea,Arsenal,8.7
4212,1454,David Luiz,BRA,DF,Chelsea,Premier League,31,1987,36,36,"3,238",36.0,3,2,3,0,0,3,0,0.08,0.06,0.14,0.08,0.14,2.4,2.4,2.0,4.4,0.07,0.06,0.12,0.07,0.12,2018,Chelsea,Arsenal,8
4213,1454,David Luiz,BRA,DF,Chelsea,Premier League,31,1987,36,36,"3,238",36.0,3,2,3,0,0,3,0,0.08,0.06,0.14,0.08,0.14,2.4,2.4,2.0,4.4,0.07,0.06,0.12,0.07,0.12,2018,Chelsea,Arsenal,8.7
4214,1454,David Luiz,BRA,DF,Chelsea,Premier League,31,1987,36,36,"3,238",36.0,3,2,3,0,0,3,0,0.08,0.06,0.14,0.08,0.14,2.4,2.4,2.0,4.4,0.07,0.06,0.12,0.07,0.12,2018,Chelsea,Arsenal,8
4215,1455,Douglas Luiz,BRA,MF,Girona,La Liga,20,1998,23,16,"1,490",16.6,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.4,1.4,0.06,0.02,0.09,0.06,0.09,2018,Manchester City,Aston Villa,16
4216,1455,Douglas Luiz,BRA,MF,Girona,La Liga,20,1998,23,16,"1,490",16.6,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.4,1.4,0.06,0.02,0.09,0.06,0.09,2018,Manchester City,Aston Villa,16
4220,1459,Dodi Lukebakio,BEL,FW,Düsseldorf,Bundesliga,20,1997,31,22,"1,972",21.9,10,3,6,4,6,6,0,0.46,0.14,0.59,0.27,0.41,12.7,8.1,2.3,10.4,0.58,0.10,0.68,0.37,0.47,2018,Watford,Hertha Berlin,18
4221,1459,Dodi Lukebakio,BEL,FW,Düsseldorf,Bundesliga,20,1997,31,22,"1,972",21.9,10,3,6,4,6,6,0,0.46,0.14,0.59,0.27,0.41,12.7,8.1,2.3,10.4,0.58,0.10,0.68,0.37,0.47,2018,Watford,Hertha Berlin,18
4240,1478,Harry Maguire,ENG,DF,Leicester City,Premier League,25,1993,31,31,"2,596",28.8,3,0,3,0,0,6,1,0.10,0.00,0.10,0.10,0.10,2.1,2.1,0.5,2.7,0.07,0.02,0.09,0.07,0.09,2018,Leicester City,Manchester United,88
4241,1478,Harry Maguire,ENG,DF,Leicester City,Premier League,25,1993,31,31,"2,596",28.8,3,0,3,0,0,6,1,0.10,0.00,0.10,0.10,0.10,2.1,2.1,0.5,2.7,0.07,0.02,0.09,0.07,0.09,2018,Leicester City,Manchester United,88
4255,1492,Malcom,BRA,FW,Barcelona,La Liga,21,1997,15,6,614,6.8,1,2,1,0,0,0,0,0.15,0.29,0.44,0.15,0.44,1.5,1.5,1.6,3.2,0.23,0.24,0.47,0.23,0.47,2018,FC Barcelona,Zenit,40
4256,1492,Malcom,BRA,FW,Barcelona,La Liga,21,1997,15,6,614,6.8,1,2,1,0,0,0,0,0.15,0.29,0.44,0.15,0.44,1.5,1.5,1.6,3.2,0.23,0.24,0.47,0.23,0.47,2018,FC Barcelona,Zenit,40
4308,1544,Gelson Martins,POR,FW,Monaco,Ligue 1,23,1995,16,16,"1,389",15.4,4,2,4,0,0,1,0,0.26,0.13,0.39,0.26,0.39,3.4,3.4,1.8,5.2,0.22,0.12,0.33,0.22,0.33,2018,Atletico Madrid,Monaco,30
4309,1544,Gelson Martins,POR,FW,Monaco,Ligue 1,23,1995,16,16,"1,389",15.4,4,2,4,0,0,1,0,0.26,0.13,0.39,0.26,0.39,3.4,3.4,1.8,5.2,0.22,0.12,0.33,0.22,0.33,2018,Atletico Madrid,Monaco,30
4310,1545,Gelson Martins,POR,FW,Atlético Madrid,La Liga,23,1995,8,1,229,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.7,0.26,0.02,0.28,0.26,0.28,2018,Atletico Madrid,Monaco,30
4311,1545,Gelson Martins,POR,FW,Atlético Madrid,La Liga,23,1995,8,1,229,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.7,0.26,0.02,0.28,0.26,0.28,2018,Atletico Madrid,Monaco,30
4351,1585,James McCarthy,IRL,MF,Everton,Premier League,27,1990,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2018,Everton,Crystal Palace,3.2
4352,1585,James McCarthy,IRL,MF,Everton,Premier League,27,1990,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2018,Everton,Crystal Palace,3.2
4367,1600,Gonzalo Melero,ESP,MF,Huesca,La Liga,24,1994,22,14,"1,345",14.9,2,1,1,1,2,3,0,0.13,0.07,0.20,0.07,0.13,4.0,2.5,1.1,3.6,0.27,0.07,0.34,0.17,0.24,2018,Huesca,Levante,3.24
4368,1600,Gonzalo Melero,ESP,MF,Huesca,La Liga,24,1994,22,14,"1,345",14.9,2,1,1,1,2,3,0,0.13,0.07,0.20,0.07,0.13,4.0,2.5,1.1,3.6,0.27,0.07,0.34,0.17,0.24,2018,Huesca,Levante,3.24
4371,1603,Thiago Mendes,BRA,MF,Lille,Ligue 1,26,1992,35,35,"3,074",34.2,0,5,0,0,0,10,0,0.00,0.15,0.15,0.00,0.15,1.3,1.3,4.2,5.6,0.04,0.12,0.16,0.04,0.16,2018,Lille,Lyon,20
4372,1603,Thiago Mendes,BRA,MF,Lille,Ligue 1,26,1992,35,35,"3,074",34.2,0,5,0,0,0,10,0,0.00,0.15,0.15,0.00,0.15,1.3,1.3,4.2,5.6,0.04,0.12,0.16,0.04,0.16,2018,Lille,Lyon,20
4378,1609,Edouard Mendy,SEN,GK,Reims,Ligue 1,26,1992,38,38,"3,420",38.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2018,Reims,Rennes,4
4379,1609,Edouard Mendy,SEN,GK,Reims,Ligue 1,26,1992,38,38,"3,420",38.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2018,Reims,Rennes,4
4380,1610,Ferland Mendy,FRA,DF,Lyon,Ligue 1,23,1995,30,27,"2,531",28.1,2,1,2,0,0,2,0,0.07,0.04,0.11,0.07,0.11,1.1,1.1,3.4,4.5,0.04,0.12,0.16,0.04,0.16,2018,Olympique Lyon,Real Madrid,43.2
4381,1610,Ferland Mendy,FRA,DF,Lyon,Ligue 1,23,1995,30,27,"2,531",28.1,2,1,2,0,0,2,0,0.07,0.04,0.11,0.07,0.11,1.1,1.1,3.4,4.5,0.04,0.12,0.16,0.04,0.16,2018,Olympique Lyon,Real Madrid,43.2
4414,1643,Tyrone Mings,ENG,DF,Bournemouth,Premier League,25,1993,5,2,143,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.07,0.07,0.00,0.07,2018,Bournemouth,Aston Villa,22.3
4415,1643,Tyrone Mings,ENG,DF,Bournemouth,Premier League,25,1993,5,2,143,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.07,0.07,0.00,0.07,2018,Bournemouth,Aston Villa,22.3
4440,1668,Nacho Monreal,ESP,DF,Arsenal,Premier League,32,1986,22,21,"1,861",20.7,1,3,1,0,0,5,0,0.05,0.15,0.19,0.05,0.19,1.0,1.0,1.4,2.4,0.05,0.07,0.11,0.05,0.11,2018,Arsenal,Real Sociedad,"250,000"
4441,1668,Nacho Monreal,ESP,DF,Arsenal,Premier League,32,1986,22,21,"1,861",20.7,1,3,1,0,0,5,0,0.05,0.15,0.19,0.05,0.19,1.0,1.0,1.4,2.4,0.05,0.07,0.11,0.05,0.11,2018,Arsenal,Real Sociedad,"250,000"
4471,1698,Lys Mousset,FRA,FW,Bournemouth,Premier League,22,1996,24,1,368,4.1,1,0,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,1.4,1.4,0.4,1.8,0.34,0.11,0.45,0.34,0.45,2018,Bournemouth,Sheffield United,11.1
4472,1698,Lys Mousset,FRA,FW,Bournemouth,Premier League,22,1996,24,1,368,4.1,1,0,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,1.4,1.4,0.4,1.8,0.34,0.11,0.45,0.34,0.45,2018,Bournemouth,Sheffield United,11.1
4530,1756,Keylor Navas,CRC,GK,Real Madrid,La Liga,31,1986,10,10,900,10.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2018,Real Madrid,PSG,12.5
4531,1756,Keylor Navas,CRC,GK,Real Madrid,La Liga,31,1986,10,10,900,10.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2018,Real Madrid,PSG,12.5
4536,1761,Tanguy Ndombele,FRA,MF,Lyon,Ligue 1,21,1996,34,31,"2,690",29.9,1,7,1,0,0,3,0,0.03,0.23,0.27,0.03,0.27,1.9,1.9,4.4,6.3,0.06,0.15,0.21,0.06,0.21,2018,Lyon,Tottenham,55
4537,1761,Tanguy Ndombele,FRA,MF,Lyon,Ligue 1,21,1996,34,31,"2,690",29.9,1,7,1,0,0,3,0,0.03,0.23,0.27,0.03,0.27,1.9,1.9,4.4,6.3,0.06,0.15,0.21,0.06,0.21,2018,Lyon,Tottenham,55
4540,1764,Neto,BRA,GK,Valencia,La Liga,29,1989,34,34,"3,060",34.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2018,Valencia,FC Barcelona,23.4
