,Unnamed: 0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Year,From,To,Price,Price (m)
336,4983,2178,Renato Sanches,POR,MF,Bayern Munich,Bundesliga,20,1997,17,4,577,6.4,1,1,1,0,0,2,1,0.16,0.16,0.31,0.16,0.31,1.4,1.4,0.4,1.8,0.22,0.06,0.28,0.22,0.28,2018,Bayern Munich,Lille,20,20.0
337,5007,2202,Michael Santos,URU,FW,Leganés,La Liga,25,1993,16,5,557,6.2,1,3,1,0,0,4,0,0.16,0.48,0.65,0.16,0.65,1.6,1.6,0.9,2.5,0.25,0.15,0.4,0.25,0.4,2018,Malaga,Copenhagen,2.2,2.2
338,5008,2202,Michael Santos,URU,FW,Leganés,La Liga,25,1993,16,5,557,6.2,1,3,1,0,0,4,0,0.16,0.48,0.65,0.16,0.65,1.6,1.6,0.9,2.5,0.25,0.15,0.4,0.25,0.4,2018,Malaga,Copenhagen,2.2,2.2
339,5011,2205,Pablo Sarabia,ESP,MF,Sevilla,La Liga,26,1992,33,30,"2,724",30.3,13,13,12,1,1,9,0,0.43,0.43,0.86,0.4,0.83,10.8,10.0,9.2,19.2,0.36,0.3,0.66,0.33,0.63,2018,Sevilla,PSG,16.2,16.2
340,5012,2205,Pablo Sarabia,ESP,MF,Sevilla,La Liga,26,1992,33,30,"2,724",30.3,13,13,12,1,1,9,0,0.43,0.43,0.86,0.4,0.83,10.8,10.0,9.2,19.2,0.36,0.3,0.66,0.33,0.63,2018,Sevilla,PSG,16.2,16.2
341,5016,2209,Ismaila Sarr,SEN,FW,Rennes,Ligue 1,20,1998,35,32,"2,788",31.0,8,6,7,1,1,6,0,0.26,0.19,0.45,0.23,0.42,6.6,5.8,6.8,12.6,0.21,0.22,0.43,0.19,0.41,2018,Rennes,Watford,30,30.0
342,5017,2209,Ismaila Sarr,SEN,FW,Rennes,Ligue 1,20,1998,35,32,"2,788",31.0,8,6,7,1,1,6,0,0.26,0.19,0.45,0.23,0.42,6.6,5.8,6.8,12.6,0.21,0.22,0.43,0.19,0.41,2018,Rennes,Watford,30,30.0
343,5039,2231,Nico Schulz,GER,DF,Hoffenheim,Bundesliga,25,1993,30,29,"2,537",28.2,1,5,1,0,0,6,0,0.04,0.18,0.21,0.04,0.21,2.1,2.1,8.1,10.2,0.07,0.29,0.36,0.07,0.36,2018,Hoffenheim,Bor. Dortmund,24.3,24.3
344,5040,2231,Nico Schulz,GER,DF,Hoffenheim,Bundesliga,25,1993,30,29,"2,537",28.2,1,5,1,0,0,6,0,0.04,0.18,0.21,0.04,0.21,2.1,2.1,8.1,10.2,0.07,0.29,0.36,0.07,0.36,2018,Hoffenheim,Bor. Dortmund,24.3,24.3
345,5063,2254,Ryan Sessegnon,ENG,FW,Fulham,Premier League,18,2000,35,26,"2,300",25.6,2,6,2,0,0,0,0,0.08,0.23,0.31,0.08,0.31,3.3,3.3,4.7,8.1,0.13,0.18,0.32,0.13,0.32,2018,Fulham,Tottenham,27,27.0
346,5064,2254,Ryan Sessegnon,ENG,FW,Fulham,Premier League,18,2000,35,26,"2,300",25.6,2,6,2,0,0,0,0,0.08,0.23,0.31,0.08,0.31,3.3,3.3,4.7,8.1,0.13,0.18,0.32,0.13,0.32,2018,Fulham,Tottenham,25,25.0
347,5065,2254,Ryan Sessegnon,ENG,FW,Fulham,Premier League,18,2000,35,26,"2,300",25.6,2,6,2,0,0,0,0,0.08,0.23,0.31,0.08,0.31,3.3,3.3,4.7,8.1,0.13,0.18,0.32,0.13,0.32,2018,Fulham,Tottenham,27,27.0
348,5066,2254,Ryan Sessegnon,ENG,FW,Fulham,Premier League,18,2000,35,26,"2,300",25.6,2,6,2,0,0,0,0,0.08,0.23,0.31,0.08,0.31,3.3,3.3,4.7,8.1,0.13,0.18,0.32,0.13,0.32,2018,Fulham,Tottenham,25,25.0
349,5087,2275,Jonathan Silva,ARG,DF,Leganés,La Liga,24,1994,30,30,"2,700",30.0,3,6,3,0,0,9,0,0.1,0.2,0.3,0.1,0.3,1.6,1.6,3.4,5.1,0.05,0.11,0.17,0.05,0.17,2018,Sporting Lisbon,Leganes,2.7,2.7
350,5088,2275,Jonathan Silva,ARG,DF,Leganés,La Liga,24,1994,30,30,"2,700",30.0,3,6,3,0,0,9,0,0.1,0.2,0.3,0.1,0.3,1.6,1.6,3.4,5.1,0.05,0.11,0.17,0.05,0.17,2018,Sporting Lisbon,Leganes,2.7,2.7
351,5208,2395,Flavien Tait,FRA,MF,Angers,Ligue 1,25,1993,36,34,"2,985",33.2,5,7,5,0,1,2,0,0.15,0.21,0.36,0.15,0.36,6.7,5.8,7.1,12.9,0.2,0.21,0.42,0.18,0.39,2018,Angers,Stade Rennais,9,9.0
352,5209,2395,Flavien Tait,FRA,MF,Angers,Ligue 1,25,1993,36,34,"2,985",33.2,5,7,5,0,1,2,0,0.15,0.21,0.36,0.15,0.36,6.7,5.8,7.1,12.9,0.2,0.21,0.42,0.18,0.39,2018,Angers,Stade Rennais,9,9.0
