,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Year
55,56,Alexander,ARG,MF,Leganés,La Liga,28,1988,13,13,"1,060",11.8,2,2,1,1,1,1,0,0.17,0.17,0.34,0.08,0.25,2.7,1.9,2.3,4.2,0.23,0.20,0.42,0.16,0.36,2017
56,57,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,18,1998,19,18,"1,573",17.5,1,1,1,0,0,3,0,0.06,0.06,0.11,0.06,0.11,1.2,1.2,2.2,3.5,0.07,0.13,0.20,0.07,0.20,2017
57,58,Alexis,ESP,DF,Alavés,La Liga,31,1985,28,25,"2,184",24.3,1,0,1,0,0,6,0,0.04,0.00,0.04,0.04,0.04,0.7,0.7,0.1,0.8,0.03,0.00,0.03,0.03,0.03,2017
58,59,Alisson,BRA,GK,Roma,Serie A,24,1992,37,37,"3,330",37.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
59,60,Allan,BRA,MF,Napoli,Serie A,26,1991,38,32,"2,850",31.7,4,5,4,0,0,2,0,0.13,0.16,0.28,0.13,0.28,4.3,4.3,4.3,8.6,0.14,0.14,0.27,0.14,0.27,2017
60,61,Joe Allen,WAL,MF,Stoke City,Premier League,27,1990,36,36,"3,139",34.9,2,6,2,0,0,8,0,0.06,0.17,0.23,0.06,0.23,2.0,2.0,2.7,4.7,0.06,0.08,0.13,0.06,0.13,2017
61,62,Dele Alli,ENG,MF,Tottenham,Premier League,21,1996,36,34,"2,958",32.9,9,10,9,0,0,7,0,0.27,0.30,0.58,0.27,0.58,8.8,8.8,7.9,16.7,0.27,0.24,0.51,0.27,0.51,2017
62,63,Júnior Alonso,PAR,DF,Lille,Ligue 1,24,1993,34,30,"2,781",30.9,2,1,2,0,0,3,0,0.06,0.03,0.10,0.06,0.10,0.9,0.9,0.6,1.5,0.03,0.02,0.05,0.03,0.05,2017
63,64,José Alonso Lara,ESP,FW,Sevilla,La Liga,17,2000,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
64,65,Marcos Alonso,ESP,DF,Chelsea,Premier League,26,1990,33,33,"2,855",31.7,7,2,7,0,0,6,0,0.22,0.06,0.28,0.22,0.28,4.2,4.2,2.7,6.9,0.13,0.09,0.22,0.13,0.22,2017
65,66,Ricky Álvarez,ARG,MF,Sampdoria,Serie A,29,1988,12,2,267,3.0,1,1,1,0,0,0,0,0.34,0.34,0.67,0.34,0.67,0.4,0.4,0.3,0.7,0.14,0.11,0.25,0.14,0.25,2017
66,67,Sergio Álvarez,ESP,GK,Celta Vigo,La Liga,30,1986,17,16,"1,476",16.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.02,0.02,0.00,0.02,2017
67,68,Yeray Álvarez,ESP,DF,Athletic Club,La Liga,22,1995,8,7,675,7.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.01,0.00,0.01,2017
68,69,Dani Alves,BRA,DF,Paris S-G,Ligue 1,34,1983,25,23,"2,063",22.9,1,7,1,0,0,7,1,0.04,0.31,0.35,0.04,0.35,1.4,1.4,5.7,7.1,0.06,0.25,0.31,0.06,0.31,2017
69,70,Ibrahim Amadou,FRA,MF,Lille,Ligue 1,24,1993,30,30,"2,405",26.7,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.5,1.6,0.04,0.02,0.06,0.04,0.06,2017
70,71,Eloi Amagat,ESP,FW,Girona,La Liga,32,1985,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,1.51,0.00,1.51,1.51,1.51,2017
71,72,Morgan Amalfitano,FRA,MF,Rennes,Ligue 1,32,1985,14,10,746,8.3,0,0,0,0,0,2,2,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.5,1.6,0.13,0.06,0.19,0.13,0.19,2017
72,73,Romain Amalfitano,FRA,MF,Dijon,Ligue 1,27,1989,33,31,"2,703",30.0,0,3,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,0.4,0.4,2.1,2.5,0.01,0.07,0.08,0.01,0.08,2017
73,74,Daniel Amartey,GHA,DF,Leicester City,Premier League,22,1994,8,6,487,5.4,0,0,0,0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,2017
