,Player,From,To,Price,Price_,Price_m,Year
106,Sokratis,Bor. Dortmund,Arsenal,14.4,14.4,14.4,2017
107,Leo Bonatini,Al Hilal,Wolverhampton,3.6,3.6,3.6,2017
108,David Brooks,Sheffield United,Bournemouth,10.17,10.17,10.17,2017
109,Mohamed Elyounoussi,Basel,Southampton,18,18.0,18.0,2017
110,Bobby Reid,Bristol City,Cardiff,11.2,11.2,11.2,2017
112,Stuart Armstrong,Celtic,Southampton,7.16,7.16,7.16,2017
114,Fred,Shakhtar Donetsk,Manchester United,53,53.0,53.0,2017
115,Lukasz Fabianski,Swansea,West Ham,6.8,6.8,6.8,2017
117,James Maddison,Norwich City,Leicester City,22.5,22.5,22.5,2017
118,Bernd Leno,Bayer Leverkusen,Arsenal,22.5,22.5,22.5,2017
119,Issa Diop,Toulouse,West Ham United,22.5,22.5,22.5,2017
121,Marc Navarro,Espanyol,Watford,1.8,1.8,1.8,2017
125,Ramadan Sobhi,Stoke City,Huddersfield,5.85,5.85,5.85,2017
126,Gerard Deulofeu,Barcelona,Watford,13,13.0,13.0,2017
127,Jonny Evans,West Brom,Leicester,4,4.0,4.0,2017
131,Diogo Dalot,Porto,Manchester United,19,19.0,19.0,2017
133,Fred,Shakhtar Donetsk,Manchester United,53.1,53.1,53.1,2017
134,Benik Afobe,Bournemouth,Wolves,14.2,14.2,14.2,2017
135,Willy Boly,FC Porto,Wolves,12,12.0,12.0,2017
136,Diogo Jota,Atletico Madrid,Wolves,14,14.0,14.0,2017
137,Martin Dubravka,Sparta Praha,Newcastle United,4,4.0,4.0,2017
138,Fabinho,AS Monaco,Liverpool,45,45.0,45.0,2017
139,Florin Andone,Deportivo La Coruna,Brighton,6,6.0,6.0,2017
141,Ricardo Pereira,FC Porto,Leicester City,22,22.0,22.0,2017
142,Florent Hadergjonaj,Ingolstadt,Huddersfield,5,5.0,5.0,2017
143,Jonas Lossl,Mainz,Huddersfield,2.25,2.25,2.25,2017
